Epoch,Average Loss,Accuracy
1,1.6001022567523266,43.76
2,1.4824420032940533,47.852
1,1.8863062189697686,33.367999999999995
2,1.601552483902783,43.478
1,1.4833040969995681,48.076
2,1.3933182161203654,51.217999999999996
3,1.321400827806269,53.944
4,1.2583401205443603,55.986000000000004
5,1.2010204226484074,58.208000000000006
6,1.1467663388715976,60.05200000000001
7,1.096519330717857,61.922
8,1.0483726338934456,63.366
9,1.001330776734758,65.19200000000001
10,0.9559394153965945,66.548
11,0.9111394416767287,68.216
12,0.8628199696731507,69.932
13,0.817206996854726,71.74199999999999
14,0.7714834349016615,73.428
15,0.7293250914841833,74.72800000000001
16,0.688308329953647,76.36
17,0.6460595720960631,77.69800000000001
18,0.6036049431703522,79.384
19,0.5646947310261443,80.84
20,0.5277223897167146,82.19
21,0.4858046719853266,83.514
22,0.4566381186895163,84.63199999999999
23,0.42604570392512087,85.87
24,0.3886859252457808,87.24199999999999
25,0.36154490800351574,88.0
26,0.33057063718827506,89.154
27,0.30117140784239965,90.25
28,0.27378684837402095,91.29
29,0.2549640985392868,91.884
30,0.2342368517838471,92.574
31,0.20909212381529527,93.404
32,0.18787970410818408,94.258
33,0.1643058826154192,95.224
34,0.1604345179474552,95.134
35,0.15275743727882704,95.37
36,0.13192272453341855,96.138
37,0.12059898950130948,96.562
38,0.11781135987447514,96.65599999999999
39,0.10503971772667638,97.014
40,0.08937812241131556,97.552
41,0.08314595346160886,97.81400000000001
42,0.06642757964297243,98.34
43,0.07646238785868681,97.922
44,0.050871273040919256,98.816
45,0.03707418408884201,99.288
1,0.05405011069880452,98.59599999999999
2,0.03827557240100965,99.212
3,0.018439163336493383,99.772
1,1.643723564123543,41.526
2,1.409059908553262,50.126000000000005
3,1.2909144131098507,54.368
4,1.191710697063939,57.782
5,1.1101371916302945,60.440000000000005
6,1.0203159256616008,63.556000000000004
7,0.9443218672382321,66.386
8,0.863719622484782,69.304
9,0.788761662639873,71.94
10,0.7225290165161827,74.28200000000001
11,0.4126251684555394,86.14
12,0.30894544572877486,90.194
13,0.2646573847725806,91.998
14,0.23357879185735683,93.218
1,1.644535225473454,41.528
2,1.4106312738880467,50.124
3,1.292428547879937,54.04600000000001
4,1.1912913118046367,57.798
5,1.1036481094985762,60.876
6,1.0198446979373217,63.538
7,0.941951183977603,66.60000000000001
8,0.8677913415569262,69.04400000000001
9,0.7888064938558651,71.922
10,0.715348040559928,74.52
11,0.4089810990335769,86.112
12,0.3040973934382486,90.312
13,0.26112773292057423,92.06800000000001
14,0.23020531560794252,93.272
15,0.20597186051332944,94.25
